category,year,month_num,total_qty,avg_discount,prev_month_qty,qty_change_pct
Furniture,2011,1,246,17.67,NULL,NULL
Furniture,2011,2,230,14,246,-6.50
Furniture,2011,3,357,17.12,230,55.22
Furniture,2011,4,336,19.62,357,-5.88
Furniture,2011,5,378,18.88,336,12.50
Furniture,2011,6,697,22.84,378,84.39
Furniture,2011,7,315,20.73,697,-54.81
Furniture,2011,8,583,15.06,315,85.08
Furniture,2011,9,763,15.35,583,30.87
Furniture,2011,10,612,14.37,763,-19.79
Furniture,2011,11,771,16.71,612,25.98
Furniture,2011,12,1021,16.85,771,32.43
Furniture,2012,1,396,18.03,1021,-61.21
Furniture,2012,2,290,15.08,396,-26.77
Furniture,2012,3,457,22.28,290,57.59
Furniture,2012,4,422,18.23,457,-7.66
Furniture,2012,5,488,14.97,422,15.64
Furniture,2012,6,718,16.87,488,47.13
Furniture,2012,7,466,15.84,718,-35.10
Furniture,2012,8,647,14.1,466,38.84
Furniture,2012,9,803,15.55,647,24.11
Furniture,2012,10,657,16.57,803,-18.18
Furniture,2012,11,1138,16.83,657,73.21
Furniture,2012,12,797,15.75,1138,-29.96
Furniture,2013,1,544,16.22,797,-31.74
Furniture,2013,2,453,16.02,544,-16.73
Furniture,2013,3,582,17.66,453,28.48
Furniture,2013,4,529,18.32,582,-9.11
Furniture,2013,5,745,17.09,529,40.83
Furniture,2013,6,963,16.93,745,29.26
Furniture,2013,7,657,15.49,963,-31.78
Furniture,2013,8,886,16.31,657,34.86
Furniture,2013,9,1169,17.89,886,31.94
Furniture,2013,10,866,17.74,1169,-25.92
Furniture,2013,11,1084,14.95,866,25.17
Furniture,2013,12,1222,17.5,1084,12.73
Furniture,2014,1,560,15.12,1222,-54.17
Furniture,2014,2,477,16.64,560,-14.82
Furniture,2014,3,740,15.78,477,55.14
Furniture,2014,4,732,17.44,740,-1.08
Furniture,2014,5,857,18.09,732,17.08
Furniture,2014,6,1080,16.42,857,26.02
Furniture,2014,7,727,16.5,1080,-32.69
Furniture,2014,8,960,15.7,727,32.05
Furniture,2014,9,1382,17.22,960,43.96
Furniture,2014,10,1163,15.52,1382,-15.85
Furniture,2014,11,1453,16.44,1163,24.94
Furniture,2014,12,1535,18.03,1453,5.64
"Office Supplies",2011,1,997,16.44,NULL,NULL
"Office Supplies",2011,2,695,12.45,997,-30.29
"Office Supplies",2011,3,1136,12.87,695,63.45
"Office Supplies",2011,4,1295,12.41,1136,14.00
"Office Supplies",2011,5,1184,13.59,1295,-8.57
"Office Supplies",2011,6,1802,16.07,1184,52.20
"Office Supplies",2011,7,1096,14.72,1802,-39.18
"Office Supplies",2011,8,1817,13.58,1096,65.78
"Office Supplies",2011,9,2376,12.17,1817,30.76
"Office Supplies",2011,10,1591,14.3,2376,-33.04
"Office Supplies",2011,11,2458,15.74,1591,54.49
"Office Supplies",2011,12,2529,13.62,2458,2.89
"Office Supplies",2012,1,1100,12.34,2529,-56.50
"Office Supplies",2012,2,847,14.22,1100,-23.00
"Office Supplies",2012,3,1316,13.62,847,55.37
"Office Supplies",2012,4,1298,13.78,1316,-1.37
"Office Supplies",2012,5,1865,13.33,1298,43.68
"Office Supplies",2012,6,2236,14.62,1865,19.89
"Office Supplies",2012,7,1402,15.66,2236,-37.30
"Office Supplies",2012,8,2370,12.35,1402,69.04
"Office Supplies",2012,9,2519,13.69,2370,6.29
"Office Supplies",2012,10,2114,13.57,2519,-16.08
"Office Supplies",2012,11,3187,14.42,2114,50.76
"Office Supplies",2012,12,2881,12.83,3187,-9.60
"Office Supplies",2013,1,1452,12.22,2881,-49.60
"Office Supplies",2013,2,1279,12.18,1452,-11.91
"Office Supplies",2013,3,1576,14.23,1279,23.22
"Office Supplies",2013,4,1652,13.92,1576,4.82
"Office Supplies",2013,5,2351,14.06,1652,42.31
"Office Supplies",2013,6,3259,13.13,2351,38.62
"Office Supplies",2013,7,1926,12.34,3259,-40.90
"Office Supplies",2013,8,3145,13.82,1926,63.29
"Office Supplies",2013,9,3590,13.46,3145,14.15
"Office Supplies",2013,10,2214,13.8,3590,-38.33
"Office Supplies",2013,11,3342,13.49,2214,50.95
"Office Supplies",2013,12,3361,12.39,3342,0.57
"Office Supplies",2014,1,1923,13.78,3361,-42.78
"Office Supplies",2014,2,1422,14.39,1923,-26.05
"Office Supplies",2014,3,2298,12.53,1422,61.60
"Office Supplies",2014,4,2204,15.94,2298,-4.09
"Office Supplies",2014,5,2671,13.66,2204,21.19
"Office Supplies",2014,6,3764,13.64,2671,40.92
"Office Supplies",2014,7,2142,15.02,3764,-43.09
"Office Supplies",2014,8,3679,12.35,2142,71.76
"Office Supplies",2014,9,4136,13.11,3679,12.42
"Office Supplies",2014,10,3484,14.61,4136,-15.76
"Office Supplies",2014,11,4656,14.12,3484,33.64
"Office Supplies",2014,12,4545,15.09,4656,-2.38
Technology,2011,1,220,11.36,NULL,NULL
Technology,2011,2,299,17.06,220,35.91
Technology,2011,3,343,13.34,299,14.72
Technology,2011,4,389,15.53,343,13.41
Technology,2011,5,451,13.16,389,15.94
Technology,2011,6,613,15.84,451,35.92
Technology,2011,7,363,16.46,613,-40.78
Technology,2011,8,635,13.54,363,74.93
Technology,2011,9,568,13.87,635,-10.55
Technology,2011,10,524,13.89,568,-7.75
Technology,2011,11,810,14.68,524,54.58
Technology,2011,12,943,15.9,810,16.42
Technology,2012,1,349,14.16,943,-62.99
Technology,2012,2,336,15.37,349,-3.72
Technology,2012,3,464,14.57,336,38.10
Technology,2012,4,530,11.96,464,14.22
Technology,2012,5,568,13.28,530,7.17
Technology,2012,6,717,13.48,568,26.23
Technology,2012,7,453,16.49,717,-36.82
Technology,2012,8,801,11.89,453,76.82
Technology,2012,9,883,12.64,801,10.24
Technology,2012,10,792,11.81,883,-10.31
Technology,2012,11,868,13.59,792,9.60
Technology,2012,12,936,13.38,868,7.83
Technology,2013,1,417,11.49,936,-55.45
Technology,2013,2,370,11.55,417,-11.27
Technology,2013,3,528,14.15,370,42.70
Technology,2013,4,507,14.31,528,-3.98
Technology,2013,5,712,13.31,507,40.43
Technology,2013,6,1105,13.72,712,55.20
Technology,2013,7,669,15.31,1105,-39.46
Technology,2013,8,903,12.82,669,34.98
Technology,2013,9,1034,13.2,903,14.51
Technology,2013,10,803,13.3,1034,-22.34
Technology,2013,11,1130,12.13,803,40.72
Technology,2013,12,1111,14.94,1130,-1.68
Technology,2014,1,639,13.39,1111,-42.48
Technology,2014,2,583,13.96,639,-8.76
Technology,2014,3,684,13.32,583,17.32
Technology,2014,4,658,12.61,684,-3.80
Technology,2014,5,772,14.73,658,17.33
Technology,2014,6,1165,14.9,772,50.91
Technology,2014,7,768,13.65,1165,-34.08
Technology,2014,8,1185,12.76,768,54.30
Technology,2014,9,1319,10.9,1185,11.31
Technology,2014,10,1229,12.54,1319,-6.82
Technology,2014,11,1597,12.26,1229,29.94
Technology,2014,12,1433,14.46,1597,-10.27
